_id,objectid,area,perimeter,rams,rams_id,acres,sqmiles,district,shape_area,shape_length
5677,1,108953503.5655,65491.36472534,60,915,2501.22998047,3.91000009,4,108953503.712646,65491.3660207955
5678,2,28596049.24842,39150.15817383,86,786,656.4699707,1.02999997,9,28596049.2213135,39150.1581889435
5679,3,100661163.0209,76786.58819713,103,762,2310.86010742,3.6099999,11,100661163.486572,76786.5882207012
5680,4,76067834.86646,44022.61158734,105,836,1746.2800293,2.73000002,5,76067835.2265625,44022.6128045625
5681,5,150130482.9769,71746.23426933,160,818,3446.52001953,5.38999987,7,150130482.582062,71746.2343092378
5682,6,276039293.7224,140830.7454246,168,976,6336.99023438,9.89999962,3,276039294.674988,140830.746816915
5683,7,69547689.71641,51589.91840388,205,1026,1596.59997559,2.49000001,8,69547689.4334412,51589.9183613748
5684,8,157341695.0298,68299.33108283,241,994,3612.07006836,5.63999987,2,157341695.067841,68299.3317034798
5685,9,6426495.233824,13292.97031146,2,1046,147.52999878,0.23,10,6426495.24334717,13292.9704332731
5686,10,130118859.8552,76119.10583818,2,1046,2987.12011719,4.67000008,10,130118859.689209,76119.1056709234
5687,11,7156088.394123,14710.97351115,206,1027,164.27999878,0.25999999,12,7156088.63354492,14710.973378261
5688,12,98373207.84225,87529.60612285,206,1027,2258.34008789,3.52999997,12,98373206.9164429,87529.6073879559
5689,13,35620260.63441,33928.64212167,206,1027,817.72998047,1.27999997,12,35620260.6714478,33928.6422537547
5690,14,19919901.26925,36762.7026321,206,1027,457.29998779,0.70999998,12,19919901.1883545,36762.702057241
5691,15,7248282.038767,21424.14689452,112,860,166.3999939,0.25999999,14,7248282.4413147,21424.146915114
5692,16,33891171.81859,35714.21786203,112,860,778.0300293,1.22000003,14,33891171.760437,35714.2178608352
5693,17,107743886.2277,55963.70606339,6,761,2473.45996094,3.8599999,1,107743886.988586,55963.7064663024
5694,18,7809344.830607,13583.07371282,6,761,179.27999878,0.28,1,7809344.18438721,13583.0736480356
5695,19,2127233.177859,9007.31045086,9,798,48.83000183,0.08,6,2127233.19110107,9007.30999241325
5696,20,130624825.5068,57392.2065159,9,798,2998.72998047,4.69000006,6,130624825.624573,57392.2060561348
